DATE,OCCUPATION,JOB VACANCIES
2019-01,Registered nurses and registered psychiatric nurses [3012],10185
2019-01,Professional occupations in health (except nursing) [31],3610
2019-01,"Physicians, dentists and veterinarians [311]",905
2019-01,Specialist physicians [3111],155
2019-01,General practitioners and family physicians [3112],0
2019-01,Dentists [3113],0
2019-01,Veterinarians [3114],435
2019-01,"Optometrists, chiropractors and other health diagnosing and treating professionals [312]",505
2019-01,Optometrists [3121],0
2019-01,Chiropractors [3122],0
2019-01,Allied primary health practitioners [3124],420
2019-01,Other professional occupations in health diagnosing and treating [3125],0
2019-01,"Pharmacists, dietitians and nutritionists [313]",710
2019-01,Pharmacists [3131],560
2019-01,Dietitians and nutritionists [3132],150
2019-01,Therapy and assessment professionals [314],1490
2019-01,Audiologists and speech-language pathologists [3141],245
2019-01,Physiotherapists [3142],735
2019-01,Occupational therapists [3143],375
2019-01,Other professional occupations in therapy and assessment [3144],0
2019-01,Technical occupations in health [32],10440
2019-01,Medical technologists and technicians (except dental health) [321],3650
2019-01,Medical laboratory technologists [3211],600
2019-01,Medical laboratory technicians and pathologists' assistants [3212],300
2019-01,Animal health technologists and veterinary technicians [3213],720
2019-01,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists [3214]",305
2019-01,Medical radiation technologists [3215],260
2019-01,Medical sonographers [3216],155
2019-01,"Cardiology technologists and electrophysiological diagnostic technologists, not elsewhere classified (n.e.c.) [3217]",80
2019-01,Other medical technologists and technicians (except dental health) [3219],1230
2019-01,Technical occupations in dental health care [322],1035
2019-01,Denturists [3221],0
2019-01,Dental hygienists and dental therapists [3222],890
2019-01,"Dental technologists, technicians and laboratory assistants [3223]",0
2019-01,Other technical occupations in health care [323],5760
2019-01,Opticians [3231],320
2019-01,Practitioners of natural healing [3232],0
2019-01,Licensed practical nurses [3233],3745
2019-01,Paramedical occupations [3234],660
2019-01,Massage therapists [3236],745
2019-01,Other technical occupations in therapy and assessment [3237],245
2019-01,Assisting occupations in support of health services [34],13020
2019-01,Assisting occupations in support of health services [341],13020
2019-01,Dental assistants [3411],1455
2019-01,"Nurse aides, orderlies and patient service associates [3413]",10400
2019-01,Other assisting occupations in support of health services [3414],1165
2019-01,"Occupations in education, law and social, community and government services [4]",33620
2019-01,Professional occupations in education services [40],6690
2019-01,University professors and post-secondary assistants [401],1585
2019-01,University professors and lecturers [4011],1260
2019-01,Post-secondary teaching and research assistants [4012],320
2019-01,College and other vocational instructors [402],1705
2019-01,College and other vocational instructors [4021],1705
2019-01,Secondary and elementary school teachers and educational counsellors [403],3400
2019-01,Secondary school teachers [4031],0
2019-01,Elementary school and kindergarten teachers [4032],0
2019-01,Educational counsellors [4033],0
2019-01,"Professional occupations in law and social, community and government services [41]",7080
2019-01,"Judges, lawyers and Quebec notaries [411]",785
2019-01,Judges [4111],0
2019-01,Lawyers and Quebec notaries [4112],785
2019-01,Social and community service professionals [415],2655
2019-01,Psychologists [4151],530
2019-01,Social workers [4152],1130
2019-01,"Family, marriage and other related counsellors [4153]",705
2019-01,Professional occupations in religion [4154],0
2019-01,Probation and parole officers and related occupations [4155],0
2019-01,Employment counsellors [4156],220
2019-01,"Policy and program researchers, consultants and officers [416]",3645
2019-01,"Natural and applied science policy researchers, consultants and program officers [4161]",485
2019-01,Economists and economic policy researchers and analysts [4162],135
2019-01,Business development officers and marketing researchers and consultants [4163],1185
2019-01,"Social policy researchers, consultants and program officers [4164]",525
2019-01,"Health policy researchers, consultants and program officers [4165]",730
2019-01,"Education policy researchers, consultants and program officers [4166]",365
2019-01,"Recreation, sports and fitness policy researchers, consultants and program officers [4167]",135
2019-01,Program officers unique to government [4168],0
2019-01,"Other professional occupations in social science, not elsewhere classified (n.e.c.) [4169]",50
2019-01,"Paraprofessional occupations in legal, social, community and education services [42]",13000
2019-01,"Paraprofessional occupations in legal, social, community and education services [421]",13000
2019-01,Paralegal and related occupations [4211],525
2019-01,Social and community service workers [4212],6990
2019-01,Early childhood educators and assistants [4214],4695
2019-01,Instructors of persons with disabilities [4215],275
2019-01,Other instructors [4216],480
2019-01,Other religious occupations [4217],0
2019-01,Occupations in front-line public protection services [43],495
2019-01,Occupations in front-line public protection services [431],495
2019-01,Police officers (except commissioned) [4311],160
2019-01,Firefighters [4312],335
2019-01,Non-commissioned ranks of the Canadian Armed Forces [4313],0
2019-01,"Care providers and educational, legal and public protection support occupations [44]",6355
2019-01,Home care providers and educational support occupations [441],6075
2019-01,Home child care providers [4411],125
2019-01,"Home support workers, housekeepers and related occupations [4412]",4575
2019-01,Elementary and secondary school teacher assistants [4413],1380
2019-01,Legal and public protection support occupations [442],280
2019-01,Sheriffs and bailiffs [4421],0
2019-01,Correctional service officers [4422],0
2019-01,"By-law enforcement and other regulatory officers, not elsewhere classified (n.e.c.) [4423]",225
2019-01,"Occupations in art, culture, recreation and sport [5]",12770
2019-01,Professional occupations in art and culture [51],1520
2019-01,"Librarians, archivists, conservators and curators [511]",150
2019-01,Librarians [5111],105
2019-01,Conservators and curators [5112],0
2019-01,Archivists [5113],0
2019-01,"Writing, translating and related communications professionals [512]",875
2019-01,Authors and writers [5121],305
2019-01,Editors [5122],0
2019-01,Journalists [5123],185
2019-01,"Translators, terminologists and interpreters [5125]",0
2019-01,Creative and performing artists [513],495
2019-01,"Producers, directors, choreographers and related occupations [5131]",330
2019-01,"Conductors, composers and arrangers [5132]",0
2019-01,Musicians and singers [5133],20
2019-01,Dancers [5134],35
2019-01,Actors and comedians [5135],0
2019-01,"Painters, sculptors and other visual artists [5136]",0
2019-01,"Technical occupations in art, culture, recreation and sport [52]",11245
2019-01,"Technical occupations in libraries, public archives, museums and art galleries [521]",435
2019-01,Library and public archive technicians [5211],80
2019-01,Technical occupations related to museums and art galleries [5212],355
2019-01,"Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts [522]",1465
2019-01,Photographers [5221],0
2019-01,Film and video camera operators [5222],0
2019-01,Graphic arts technicians [5223],475
2019-01,Broadcast technicians [5224],150
2019-01,Audio and video recording technicians [5225],0
2019-01,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts [5226]",315
2019-01,"Support occupations in motion pictures, broadcasting, photography and the performing arts [5227]",245
2019-01,"Announcers and other performers, not elsewhere classified (n.e.c.) [523]",185
2019-01,Announcers and other broadcasters [5231],135
2019-01,"Other performers, not elsewhere classified (n.e.c.) [5232]",50
2019-01,Creative designers and craftspersons [524],2605
2019-01,Graphic designers and illustrators [5241],1825
2019-01,Interior designers and interior decorators [5242],395
2019-01,"Theatre, fashion, exhibit and other creative designers [5243]",240
2019-01,Artisans and craftspersons [5244],0
2019-01,"Patternmakers - textile, leather and fur products [5245]",0
2019-01,"Athletes, coaches, referees and related occupations [525]",6560
2019-01,Athletes [5251],0
2019-01,Coaches [5252],635
2019-01,Sports officials and referees [5253],0
2019-01,"Program leaders and instructors in recreation, sport and fitness [5254]",5890
2019-01,Sales and service occupations [6],154845
2019-01,Retail sales supervisors and specialized sales occupations [62],9770
2019-01,Retail sales supervisors [621],1980
2019-01,Retail sales supervisors [6211],1980
2019-01,Technical sales specialists in wholesale trade and retail and wholesale buyers [622],4075
2019-01,Technical sales specialists - wholesale trade [6221],3575
2019-01,Retail and wholesale buyers [6222],500
2019-01,"Insurance, real estate and financial sales occupations [623]",3715
2019-01,Insurance agents and brokers [6231],1795
2019-01,Real estate agents and salespersons [6232],115
2019-01,Financial sales representatives [6235],1805
