DATE,OCCUPATION,JOB VACANCIES
2019-10,Gas fitters [7253],0
2019-10,Carpenters and cabinetmakers [727],1680
2019-10,Carpenters [7271],1415
2019-10,Cabinetmakers [7272],265
2019-10,Masonry and plastering trades [728],0
2019-10,Bricklayers [7281],0
2019-10,Concrete finishers [7282],0
2019-10,Tilesetters [7283],0
2019-10,"Plasterers, drywall installers and finishers and lathers [7284]",0
2019-10,Other construction trades [729],0
2019-10,Roofers and shinglers [7291],0
2019-10,Glaziers [7292],0
2019-10,Insulators [7293],0
2019-10,Painters and decorators (except interior decorators) [7294],0
2019-10,Floor covering installers [7295],0
2019-10,Maintenance and equipment operation trades [73],5485
2019-10,"Contractors and supervisors, maintenance trades and heavy equipment and transport operators [730]",0
2019-10,"Contractors and supervisors, mechanic trades [7301]",80
2019-10,"Contractors and supervisors, heavy equipment operator crews [7302]",0
2019-10,"Supervisors, printing and related occupations [7303]",0
2019-10,"Supervisors, railway transport operations [7304]",0
2019-10,"Supervisors, motor transport and other ground transit operators [7305]",10
2019-10,Machinery and transportation equipment mechanics (except motor vehicles) [731],1600
2019-10,Construction millwrights and industrial mechanics [7311],460
2019-10,Heavy-duty equipment mechanics [7312],765
2019-10,"Heating, refrigeration and air conditioning mechanics [7313]",0
2019-10,Railway carmen/women [7314],0
2019-10,Aircraft mechanics and aircraft inspectors [7315],125
2019-10,Machine fitters [7316],0
2019-10,Elevator constructors and mechanics [7318],0
2019-10,Automotive service technicians [732],2685
2019-10,"Automotive service technicians, truck and bus mechanics and mechanical repairers [7321]",1930
2019-10,Motor vehicle body repairers [7322],755
2019-10,Other mechanics and related repairers [733],685
2019-10,Oil and solid fuel heating mechanics [7331],0
2019-10,Appliance servicers and repairers [7332],0
2019-10,Electrical mechanics [7333],440
2019-10,"Motorcycle, all-terrain vehicle and other related mechanics [7334]",0
2019-10,Other small engine and small equipment repairers [7335],0
2019-10,Train crew operating occupations [736],0
2019-10,Railway and yard locomotive engineers [7361],0
2019-10,Railway conductors and brakemen/women [7362],0
2019-10,"Crane operators, drillers and blasters [737]",0
2019-10,Crane operators [7371],0
2019-10,"Drillers and blasters - surface mining, quarrying and construction [7372]",0
2019-10,Water well drillers [7373],0
2019-10,"Printing press operators and other trades and related occupations, not elsewhere classified (n.e.c.) [738]",0
2019-10,Printing press operators [7381],0
2019-10,"Other trades and related occupations, not elsewhere classified (n.e.c.) [7384]",0
2019-10,"Other installers, repairers and servicers and material handlers [74]",2810
2019-10,"Other installers, repairers and servicers [744]",635
2019-10,Residential and commercial installers and servicers [7441],410
2019-10,Waterworks and gas maintenance workers [7442],0
2019-10,Pest controllers and fumigators [7444],0
2019-10,Other repairers and servicers [7445],170
2019-10,Longshore workers and material handlers [745],2175
2019-10,Longshore workers [7451],0
2019-10,Material handlers [7452],2150
2019-10,Transport and heavy equipment operation and related maintenance occupations [75],5765
2019-10,Motor vehicle and transit drivers [751],4040
2019-10,Transport truck drivers [7511],2945
2019-10,"Bus drivers, subway operators and other transit operators [7512]",515
2019-10,Taxi and limousine drivers and chauffeurs [7513],0
2019-10,Delivery and courier service drivers [7514],505
2019-10,Heavy equipment operators [752],1020
2019-10,Heavy equipment operators (except crane) [7521],225
2019-10,Public works maintenance equipment operators and related workers [7522],795
2019-10,Other transport equipment operators and related maintenance workers [753],705
2019-10,Railway yard and track maintenance workers [7531],0
2019-10,Water transport deck and engine room crew [7532],0
2019-10,Boat and cable ferry operators and related occupations [7533],0
2019-10,Air transport ramp attendants [7534],75
2019-10,Other automotive mechanical installers and servicers [7535],585
2019-10,"Trades helpers, construction labourers and related occupations [76]",1665
2019-10,Trades helpers and labourers [761],1255
2019-10,Construction trades helpers and labourers [7611],1160
2019-10,Other trades helpers and labourers [7612],0
2019-10,"Public works and other labourers, not elsewhere classified (n.e.c.) [762]",415
2019-10,Public works and maintenance labourers [7621],0
2019-10,Railway and motor transport labourers [7622],235
2019-10,"Natural resources, agriculture and related production occupations [8]",2350
2019-10,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",155
2019-10,"Supervisors, logging and forestry [821]",10
2019-10,"Supervisors, logging and forestry [8211]",10
2019-10,"Contractors and supervisors, mining, oil and gas [822]",35
2019-10,"Supervisors, mining and quarrying [8221]",35
2019-10,"Contractors and supervisors, oil and gas drilling and services [8222]",0
2019-10,"Underground miners, oil and gas drillers and related occupations [823]",35
2019-10,Underground production and development miners [8231],35
2019-10,"Oil and gas well drillers, servicers, testers and related workers [8232]",0
2019-10,Logging machinery operators [824],10
2019-10,Logging machinery operators [8241],10
2019-10,"Contractors and supervisors, agriculture, horticulture and related operations and services [825]",0
2019-10,"Agricultural service contractors, farm supervisors and specialized livestock workers [8252]",0
2019-10,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services [8255]",0
2019-10,Fishing vessel masters and fishermen/women [826],0
2019-10,Fishing masters and officers [8261],0
2019-10,Fishermen/women [8262],0
2019-10,"Workers in natural resources, agriculture and related production [84]",1485
2019-10,Mine service workers and operators in oil and gas drilling [841],0
2019-10,Underground mine service and support workers [8411],0
2019-10,Oil and gas well drilling and related workers and services operators [8412],0
2019-10,Logging and forestry workers [842],200
2019-10,Chain saw and skidder operators [8421],0
2019-10,Silviculture and forestry workers [8422],0
2019-10,Agriculture and horticulture workers [843],1270
2019-10,General farm workers [8431],1125
2019-10,Nursery and greenhouse workers [8432],145
2019-10,Other workers in fishing and trapping and hunting occupations [844],0
2019-10,Fishing vessel deckhands [8441],0
2019-10,Trappers and hunters [8442],0
2019-10,"Harvesting, landscaping and natural resources labourers [86]",710
2019-10,"Harvesting, landscaping and natural resources labourers [861]",710
2019-10,Harvesting labourers [8611],0
2019-10,Landscaping and grounds maintenance labourers [8612],635
2019-10,Aquaculture and marine harvest labourers [8613],0
2019-10,Mine labourers [8614],0
2019-10,"Oil and gas drilling, servicing and related labourers [8615]",0
2019-10,Logging and forestry labourers [8616],0
2019-10,Occupations in manufacturing and utilities [9],9235
2019-10,"Processing, manufacturing and utilities supervisors and central control operators [92]",385
2019-10,"Supervisors, processing and manufacturing occupations [921]",195
2019-10,"Supervisors, mineral and metal processing [9211]",25
2019-10,"Supervisors, petroleum, gas and chemical processing and utilities [9212]",40
2019-10,"Supervisors, food and beverage processing [9213]",55
2019-10,"Supervisors, plastic and rubber products manufacturing [9214]",0
2019-10,"Supervisors, forest products processing [9215]",30
2019-10,"Supervisors, textile, fabric, fur and leather products processing and manufacturing [9217]",0
2019-10,"Supervisors, assembly and fabrication [922]",60
2019-10,"Supervisors, motor vehicle assembling [9221]",0
2019-10,"Supervisors, electronics manufacturing [9222]",0
2019-10,"Supervisors, electrical products manufacturing [9223]",0
2019-10,"Supervisors, furniture and fixtures manufacturing [9224]",0
2019-10,"Supervisors, other mechanical and metal products manufacturing [9226]",20
2019-10,"Supervisors, other products manufacturing and assembly [9227]",0
2019-10,Central control and process operators in processing and manufacturing [923],0
2019-10,"Central control and process operators, mineral and metal processing [9231]",0
2019-10,"Central control and process operators, petroleum, gas and chemical processing [9232]",0
2019-10,"Pulping, papermaking and coating control operators [9235]",0
2019-10,Utilities equipment operators and controllers [924],90
2019-10,Power engineers and power systems operators [9241],75
2019-10,Water and waste treatment plant operators [9243],15
2019-10,Processing and manufacturing machine operators and related production workers [94],3545
2019-10,Machine operators and related workers in mineral and metal products processing and manufacturing [941],0
2019-10,"Machine operators, mineral and metal processing [9411]",0
2019-10,Foundry workers [9412],0
2019-10,Glass forming and finishing machine operators and glass cutters [9413],0
2019-10,"Concrete, clay and stone forming operators [9414]",55
2019-10,"Inspectors and testers, mineral and metal processing [9415]",0
2019-10,Metalworking and forging machine operators [9416],225
2019-10,Machining tool operators [9417],195
2019-10,Other metal products machine operators [9418],0
2019-10,"Machine operators and related workers in chemical, plastic and rubber processing [942]",655
2019-10,Chemical plant machine operators [9421],140
2019-10,Plastics processing machine operators [9422],320
2019-10,Rubber processing machine operators and related workers [9423],195
2019-10,Machine operators and related workers in pulp and paper production and wood processing and manufacturing [943],320
2019-10,Sawmill machine operators [9431],45
2019-10,Pulp mill machine operators [9432],0
2019-10,Papermaking and finishing machine operators [9433],0
2019-10,Other wood processing machine operators [9434],0
2019-10,Paper converting machine operators [9435],0
2019-10,Lumber graders and other wood processing inspectors and graders [9436],0
2019-10,Woodworking machine operators [9437],70
2019-10,"Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing [944]",350
2019-10,"Textile fibre and yarn, hide and pelt processing machine operators and workers [9441]",0
2019-10,"Weavers, knitters and other fabric making occupations [9442]",0
2019-10,"Fabric, fur and leather cutters [9445]",0
2019-10,Industrial sewing machine operators [9446],305
2019-10,"Inspectors and graders, textile, fabric, fur and leather products manufacturing [9447]",0
2019-10,"Machine operators and related workers in food, beverage and associated products processing [946]",1305
2019-10,"Process control and machine operators, food and beverage processing [9461]",510
2019-10,"Industrial butchers and meat cutters, poultry preparers and related workers [9462]",745
2019-10,Fish and seafood plant workers [9463],20
2019-10,"Testers and graders, food and beverage processing [9465]",0
2019-10,Printing equipment operators and related occupations [947],0
2019-10,Plateless printing equipment operators [9471],0
2019-10,"Camera, platemaking and other prepress occupations [9472]",0
2019-10,Binding and finishing machine operators [9473],0
2019-10,Photographic and film processors [9474],0
2019-10,Assemblers in manufacturing [95],1950
2019-10,"Mechanical, electrical and electronics assemblers [952]",645
2019-10,Aircraft assemblers and aircraft assembly inspectors [9521],35
2019-10,"Motor vehicle assemblers, inspectors and testers [9522]",0
2019-10,"Electronics assemblers, fabricators, inspectors and testers [9523]",185
2019-10,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing [9524]",0
2019-10,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers [9525]",0
2019-10,Mechanical assemblers and inspectors [9526],225
2019-10,"Machine operators and inspectors, electrical apparatus manufacturing [9527]",0
2019-10,Other assembly and related occupations [953],1305
2019-10,Boat assemblers and inspectors [9531],0
2019-10,Furniture and fixture assemblers and inspectors [9532],205
2019-10,Other wood products assemblers and inspectors [9533],170
2019-10,Furniture finishers and refinishers [9534],0
2019-10,"Plastic products assemblers, finishers and inspectors [9535]",205
2019-10,"Industrial painters, coaters and metal finishing process operators [9536]",260
2019-10,"Other products assemblers, finishers and inspectors [9537]",410
2019-10,"Labourers in processing, manufacturing and utilities [96]",3355
2019-10,"Labourers in processing, manufacturing and utilities [961]",3355
2019-10,Labourers in mineral and metal processing [9611],90
2019-10,Labourers in metal fabrication [9612],385
2019-10,Labourers in chemical products processing and utilities [9613],105
2019-10,"Labourers in wood, pulp and paper processing [9614]",530
2019-10,Labourers in rubber and plastic products manufacturing [9615],225
2019-10,Labourers in textile processing [9616],110
2019-10,Labourers in food and beverage processing [9617],1475
2019-10,Labourers in fish and seafood processing [9618],0
2019-10,"Other labourers in processing, manufacturing and utilities [9619]",440
2019-10,Unclassified occupations,1060
2019-10,"Total, all occupations",191030
2019-10,Management occupations [0],12235
2019-10,Senior management occupations [00],485
2019-10,Legislators and senior management [001],485
2019-10,Legislators [0011],0
2019-10,Senior government managers and officials [0012],30
2019-10,"Senior managers - financial, communications and other business services [0013]",250
2019-10,"Senior managers - health, education, social and community services and membership organizations [0014]",0
2019-10,"Senior managers - trade, broadcasting and other services, not elsewhere classified (n.e.c.) [0015]",55
2019-10,"Senior managers - construction, transportation, production and utilities [0016]",40
2019-10,Specialized middle management occupations [01-05],6095
2019-10,Administrative services managers [011],1585
2019-10,Financial managers [0111],780
2019-10,Human resources managers [0112],440
2019-10,Purchasing managers [0113],185
2019-10,Other administrative services managers [0114],180
2019-10,Managers in financial and business services [012],2225
2019-10,"Insurance, real estate and financial brokerage managers [0121]",410
2019-10,"Banking, credit and other investment managers [0122]",520
2019-10,"Advertising, marketing and public relations managers [0124]",1160
2019-10,Other business services managers [0125],140
2019-10,Managers in communication (except broadcasting) [013],55
2019-10,Telecommunication carriers managers [0131],0
2019-10,Postal and courier services managers [0132],0
2019-10,"Managers in engineering, architecture, science and information systems [021]",1340
2019-10,Engineering managers [0211],465
2019-10,Architecture and science managers [0212],140
2019-10,Computer and information systems managers [0213],735
2019-10,Managers in health care [031],240
2019-10,Managers in health care [0311],240
2019-10,Managers in public administration [041],85
2019-10,Government managers - health and social policy development and program administration [0411],0
2019-10,"Government managers - economic analysis, policy development and program administration [0412]",25
2019-10,Government managers - education policy development and program administration [0413],0
2019-10,Other managers in public administration [0414],40
2019-10,Managers in education and social and community services [042],460
2019-10,Administrators - post-secondary education and vocational training [0421],85
2019-10,School principals and administrators of elementary and secondary education [0422],10
2019-10,"Managers in social, community and correctional services [0423]",360
2019-10,Managers in public protection services [043],10
2019-10,Commissioned police officers [0431],0
2019-10,Fire chiefs and senior firefighting officers [0432],10
2019-10,Commissioned officers of the Canadian Armed Forces [0433],0
2019-10,"Managers in art, culture, recreation and sport [051]",95
2019-10,"Library, archive, museum and art gallery managers [0511]",0
2019-10,"Managers - publishing, motion pictures, broadcasting and performing arts [0512]",45
2019-10,"Recreation, sports and fitness program and service directors [0513]",30
2019-10,Middle management occupations in retail and wholesale trade and customer services [06],3620
2019-10,Corporate sales managers [060],800
2019-10,Corporate sales managers [0601],800
2019-10,Retail and wholesale trade managers [062],1925
2019-10,Retail and wholesale trade managers [0621],1925
2019-10,Managers in food service and accommodation [063],755
2019-10,Restaurant and food service managers [0631],705
2019-10,Accommodation service managers [0632],50
2019-10,"Managers in customer and personal services, not elsewhere classified (n.e.c.) [065]",0
2019-10,"Managers in customer and personal services, not elsewhere classified (n.e.c.) [0651]",0
2019-10,"Middle management occupations in trades, transportation, production and utilities [07-09]",2040
2019-10,Managers in construction and facility operation and maintenance [071],1280
2019-10,Construction managers [0711],595
2019-10,Home building and renovation managers [0712],0
2019-10,Facility operation and maintenance managers [0714],0
2019-10,Managers in transportation [073],95
2019-10,Managers in transportation [0731],95
2019-10,Managers in natural resources production and fishing [081],0
2019-10,Managers in natural resources production and fishing [0811],0
2019-10,"Managers in agriculture, horticulture and aquaculture [082]",0
2019-10,Managers in agriculture [0821],0
2019-10,Managers in horticulture [0822],25
2019-10,Managers in aquaculture [0823],0
2019-10,Managers in manufacturing and utilities [091],470
2019-10,Manufacturing managers [0911],395
2019-10,Utilities managers [0912],75
2019-10,"Business, finance and administration occupations [1]",23210
2019-10,Professional occupations in business and finance [11],7040
2019-10,"Auditors, accountants and investment professionals [111]",3660
2019-10,Financial auditors and accountants [1111],1055
2019-10,Financial and investment analysts [1112],1480
2019-10,"Securities agents, investment dealers and brokers [1113]",290
2019-10,Other financial officers [1114],840
2019-10,Human resources and business service professionals [112],3380
2019-10,Human resources professionals [1121],685
2019-10,Professional occupations in business management consulting [1122],1045
2019-10,"Professional occupations in advertising, marketing and public relations [1123]",1650
2019-10,Administrative and financial supervisors and administrative occupations [12],5750
2019-10,Administrative services supervisors [121],820
2019-10,"Supervisors, general office and administrative support workers [1211]",0
2019-10,"Supervisors, finance and insurance office workers [1212]",300
2019-10,"Supervisors, library, correspondence and related information workers [1213]",10
2019-10,"Supervisors, mail and message distribution occupations [1214]",0
2019-10,"Supervisors, supply chain, tracking and scheduling co-ordination occupations [1215]",405
2019-10,Administrative and regulatory occupations [122],2660
2019-10,Administrative officers [1221],1040
2019-10,Executive assistants [1222],390
2019-10,Human resources and recruitment officers [1223],630
2019-10,Property administrators [1224],0
2019-10,Purchasing agents and officers [1225],345
2019-10,Conference and event planners [1226],115
2019-10,Court officers and justices of the peace [1227],0
2019-10,"Employment insurance, immigration, border services and revenue officers [1228]",0
2019-10,"Office administrative assistants - general, legal and medical [124]",2175
2019-10,Administrative assistants [1241],1100
2019-10,Legal administrative assistants [1242],505
2019-10,Medical administrative assistants [1243],570
2019-10,"Court reporters, transcriptionists, records management technicians and statistical officers [125]",95
2019-10,"Court reporters, medical transcriptionists and related occupations [1251]",10
2019-10,Health information management occupations [1252],30
2019-10,Records management technicians [1253],0
2019-10,Statistical officers and related research support occupations [1254],0
2019-10,"Finance, insurance and related business administrative occupations [13]",1180
2019-10,"Finance, insurance and related business administrative occupations [131]",1180
2019-10,Accounting technicians and bookkeepers [1311],570
2019-10,Insurance adjusters and claims examiners [1312],300
2019-10,Insurance underwriters [1313],175
2019-10,"Assessors, valuators and appraisers [1314]",0
2019-10,"Customs, ship and other brokers [1315]",0
2019-10,Office support occupations [14],6130
2019-10,General office workers [141],3675
2019-10,General office support workers [1411],1380
2019-10,Receptionists [1414],2200
2019-10,Personnel clerks [1415],0
2019-10,Court clerks [1416],0
2019-10,Office equipment operators [142],125
2019-10,Data entry clerks [1422],115
2019-10,Desktop publishing operators and related occupations [1423],0
2019-10,"Financial, insurance and related administrative support workers [143]",2185
2019-10,Accounting and related clerks [1431],755
2019-10,Payroll administrators [1432],205
2019-10,"Banking, insurance and other financial clerks [1434]",630
2019-10,Collectors [1435],595
2019-10,"Library, correspondence and other clerks [145]",145
2019-10,Library assistants and clerks [1451],65
2019-10,"Correspondence, publication and regulatory clerks [1452]",35
2019-10,Survey interviewers and statistical clerks [1454],0
2019-10,"Distribution, tracking and scheduling co-ordination occupations [15]",3115
2019-10,Mail and message distribution occupations [151],0
2019-10,"Mail, postal and related workers [1511]",0
2019-10,Letter carriers [1512],0
2019-10,"Couriers, messengers and door-to-door distributors [1513]",0
2019-10,"Supply chain logistics, tracking and scheduling co-ordination occupations [152]",2285
2019-10,Shippers and receivers [1521],1335
2019-10,Storekeepers and partspersons [1522],210
2019-10,Production logistics co-ordinators [1523],170
2019-10,Purchasing and inventory control workers [1524],205
2019-10,Dispatchers [1525],310
2019-10,Transportation route and crew schedulers [1526],60
2019-10,Natural and applied sciences and related occupations [2],15530
2019-10,Professional occupations in natural and applied sciences [21],10330
2019-10,Physical science professionals [211],145
2019-10,Physicists and astronomers [2111],0
2019-10,Chemists [2112],85
2019-10,Geoscientists and oceanographers [2113],0
2019-10,Meteorologists and climatologists [2114],0
2019-10,Other professional occupations in physical sciences [2115],0
2019-10,Life science professionals [212],125
2019-10,Biologists and related scientists [2121],120
2019-10,Forestry professionals [2122],0
2019-10,"Agricultural representatives, consultants and specialists [2123]",0
2019-10,"Civil, mechanical, electrical and chemical engineers [213]",1105
2019-10,Civil engineers [2131],375
2019-10,Mechanical engineers [2132],490
2019-10,Electrical and electronics engineers [2133],165
2019-10,Chemical engineers [2134],0
2019-10,Other engineers [214],1025
2019-10,Industrial and manufacturing engineers [2141],195
2019-10,Metallurgical and materials engineers [2142],0
2019-10,Mining engineers [2143],0
2019-10,Geological engineers [2144],0
2019-10,Petroleum engineers [2145],0
2019-10,Aerospace engineers [2146],15
2019-10,Computer engineers (except software engineers and designers) [2147],355
2019-10,"Other professional engineers, not elsewhere classified (n.e.c.) [2148]",240
2019-10,"Architects, urban planners and land surveyors [215]",325
2019-10,Architects [2151],0
2019-10,Landscape architects [2152],0
2019-10,Urban and land use planners [2153],160
2019-10,Land surveyors [2154],0
2019-10,"Mathematicians, statisticians and actuaries [216]",130
2019-10,"Mathematicians, statisticians and actuaries [2161]",130
2019-10,Computer and information systems professionals [217],7470
2019-10,Information systems analysts and consultants [2171],2520
2019-10,Database analysts and data administrators [2172],550
2019-10,Software engineers and designers [2173],1410
2019-10,Computer programmers and interactive media developers [2174],2705
2019-10,Web designers and developers [2175],285
2019-10,Technical occupations related to natural and applied sciences [22],5200
2019-10,Technical occupations in physical sciences [221],395
2019-10,Chemical technologists and technicians [2211],0
2019-10,Geological and mineral technologists and technicians [2212],0
2019-10,Technical occupations in life sciences [222],300
2019-10,Biological technologists and technicians [2221],0
2019-10,Agricultural and fish products inspectors [2222],0
2019-10,Forestry technologists and technicians [2223],5
2019-10,Conservation and fishery officers [2224],0
2019-10,Landscape and horticulture technicians and specialists [2225],0
2019-10,"Technical occupations in civil, mechanical and industrial engineering [223]",1235
2019-10,Civil engineering technologists and technicians [2231],315
2019-10,Mechanical engineering technologists and technicians [2232],400
2019-10,Industrial engineering and manufacturing technologists and technicians [2233],370
2019-10,Construction estimators [2234],150
2019-10,Technical occupations in electronics and electrical engineering [224],720
2019-10,Electrical and electronics engineering technologists and technicians [2241],270
2019-10,Electronic service technicians (household and business equipment) [2242],350
2019-10,Industrial instrument technicians and mechanics [2243],0
2019-10,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors [2244]",0
2019-10,"Technical occupations in architecture, drafting, surveying, geomatics and meteorology [225]",460
2019-10,Architectural technologists and technicians [2251],0
2019-10,Industrial designers [2252],0
2019-10,Drafting technologists and technicians [2253],250
2019-10,Land survey technologists and technicians [2254],0
2019-10,Technical occupations in geomatics and meteorology [2255],0
2019-10,Other technical inspectors and regulatory officers [226],570
2019-10,Non-destructive testers and inspection technicians [2261],0
2019-10,Engineering inspectors and regulatory officers [2262],0
2019-10,Inspectors in public and environmental health and occupational health and safety [2263],225
2019-10,Construction inspectors [2264],0
2019-10,Transportation officers and controllers [227],105
2019-10,"Air pilots, flight engineers and flying instructors [2271]",0
2019-10,Air traffic controllers and related occupations [2272],10
2019-10,"Deck officers, water transport [2273]",0
2019-10,"Engineer officers, water transport [2274]",0
2019-10,Railway traffic controllers and marine traffic regulators [2275],0
2019-10,Technical occupations in computer and information systems [228],1415
2019-10,Computer network technicians [2281],385
2019-10,User support technicians [2282],1000
2019-10,Information systems testing technicians [2283],25
2019-10,Health occupations [3],13975
2019-10,Professional occupations in nursing [30],4145
2019-10,Professional occupations in nursing [301],4145
2019-10,Nursing co-ordinators and supervisors [3011],170
2019-10,Registered nurses and registered psychiatric nurses [3012],3975
2019-10,Professional occupations in health (except nursing) [31],1105
2019-10,"Physicians, dentists and veterinarians [311]",130
2019-10,Specialist physicians [3111],35
2019-10,General practitioners and family physicians [3112],0
2019-10,Dentists [3113],0
2019-10,Veterinarians [3114],0
2019-10,"Optometrists, chiropractors and other health diagnosing and treating professionals [312]",220
2019-10,Optometrists [3121],0
2019-10,Chiropractors [3122],0
2019-10,Allied primary health practitioners [3124],205
2019-10,Other professional occupations in health diagnosing and treating [3125],0
2019-10,"Pharmacists, dietitians and nutritionists [313]",180
2019-10,Pharmacists [3131],130
2019-10,Dietitians and nutritionists [3132],55
2019-10,Therapy and assessment professionals [314],570
2019-10,Audiologists and speech-language pathologists [3141],70
2019-10,Physiotherapists [3142],330
2019-10,Occupational therapists [3143],140
2019-10,Other professional occupations in therapy and assessment [3144],0
2019-10,Technical occupations in health [32],4310
2019-10,Medical technologists and technicians (except dental health) [321],1695
2019-10,Medical laboratory technologists [3211],335
2019-10,Medical laboratory technicians and pathologists' assistants [3212],120
2019-10,Animal health technologists and veterinary technicians [3213],0
2019-10,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists [3214]",160
2019-10,Medical radiation technologists [3215],150
2019-10,Medical sonographers [3216],120
2019-10,"Cardiology technologists and electrophysiological diagnostic technologists, not elsewhere classified (n.e.c.) [3217]",35
2019-10,Other medical technologists and technicians (except dental health) [3219],595
2019-10,Technical occupations in dental health care [322],265
2019-10,Denturists [3221],0
2019-10,Dental hygienists and dental therapists [3222],260
2019-10,"Dental technologists, technicians and laboratory assistants [3223]",0
2019-10,Other technical occupations in health care [323],2350
2019-10,Opticians [3231],0
2019-10,Practitioners of natural healing [3232],0
2019-10,Licensed practical nurses [3233],1580
2019-10,Paramedical occupations [3234],180
2019-10,Massage therapists [3236],180
2019-10,Other technical occupations in therapy and assessment [3237],160
2019-10,Assisting occupations in support of health services [34],4415
2019-10,Assisting occupations in support of health services [341],4415
2019-10,Dental assistants [3411],420
2019-10,"Nurse aides, orderlies and patient service associates [3413]",3750
2019-10,Other assisting occupations in support of health services [3414],245
2019-10,"Occupations in education, law and social, community and government services [4]",13535
2019-10,Professional occupations in education services [40],2570
2019-10,University professors and post-secondary assistants [401],485
2019-10,University professors and lecturers [4011],385
2019-10,Post-secondary teaching and research assistants [4012],100
2019-10,College and other vocational instructors [402],725
2019-10,College and other vocational instructors [4021],725
2019-10,Secondary and elementary school teachers and educational counsellors [403],1360
2019-10,Secondary school teachers [4031],0
2019-10,Elementary school and kindergarten teachers [4032],0
2019-10,Educational counsellors [4033],0
2019-10,"Professional occupations in law and social, community and government services [41]",3525
2019-10,"Judges, lawyers and Quebec notaries [411]",390
2019-10,Judges [4111],0
2019-10,Lawyers and Quebec notaries [4112],390
2019-10,Social and community service professionals [415],1385
2019-10,Psychologists [4151],135
2019-10,Social workers [4152],345
2019-10,"Family, marriage and other related counsellors [4153]",620
2019-10,Professional occupations in religion [4154],0
2019-10,Probation and parole officers and related occupations [4155],0
2019-10,Employment counsellors [4156],0
2019-10,"Policy and program researchers, consultants and officers [416]",1755
2019-10,"Natural and applied science policy researchers, consultants and program officers [4161]",0
2019-10,Economists and economic policy researchers and analysts [4162],150
2019-10,Business development officers and marketing researchers and consultants [4163],545
2019-10,"Social policy researchers, consultants and program officers [4164]",150
2019-10,"Health policy researchers, consultants and program officers [4165]",515
2019-10,"Education policy researchers, consultants and program officers [4166]",115
2019-10,"Recreation, sports and fitness policy researchers, consultants and program officers [4167]",0
2019-10,Program officers unique to government [4168],0
2019-10,"Other professional occupations in social science, not elsewhere classified (n.e.c.) [4169]",0
2019-10,"Paraprofessional occupations in legal, social, community and education services [42]",4105
2019-10,"Paraprofessional occupations in legal, social, community and education services [421]",4105
2019-10,Paralegal and related occupations [4211],370
2019-10,Social and community service workers [4212],2135
2019-10,Early childhood educators and assistants [4214],1275
2019-10,Instructors of persons with disabilities [4215],0
2019-10,Other instructors [4216],0
2019-10,Other religious occupations [4217],0
2019-10,Occupations in front-line public protection services [43],540
2019-10,Occupations in front-line public protection services [431],540
2019-10,Police officers (except commissioned) [4311],0
2019-10,Firefighters [4312],0
2019-10,Non-commissioned ranks of the Canadian Armed Forces [4313],0
2019-10,"Care providers and educational, legal and public protection support occupations [44]",2795
2019-10,Home care providers and educational support occupations [441],2620
2019-10,Home child care providers [4411],30
2019-10,"Home support workers, housekeepers and related occupations [4412]",1995
2019-10,Elementary and secondary school teacher assistants [4413],600
2019-10,Legal and public protection support occupations [442],175
2019-10,Sheriffs and bailiffs [4421],0
2019-10,Correctional service officers [4422],0
2019-10,"By-law enforcement and other regulatory officers, not elsewhere classified (n.e.c.) [4423]",0
2019-10,"Occupations in art, culture, recreation and sport [5]",3985
2019-10,Professional occupations in art and culture [51],500
2019-10,"Librarians, archivists, conservators and curators [511]",35
2019-10,Librarians [5111],30
2019-10,Conservators and curators [5112],5
2019-10,Archivists [5113],0
2019-10,"Writing, translating and related communications professionals [512]",315
2019-10,Authors and writers [5121],0
2019-10,Editors [5122],0
2019-10,Journalists [5123],0
2019-10,"Translators, terminologists and interpreters [5125]",5
2019-10,Creative and performing artists [513],150
2019-10,"Producers, directors, choreographers and related occupations [5131]",65
2019-10,"Conductors, composers and arrangers [5132]",0
2019-10,Musicians and singers [5133],0
2019-10,Dancers [5134],0
2019-10,Actors and comedians [5135],0
2019-10,"Painters, sculptors and other visual artists [5136]",0
2019-10,"Technical occupations in art, culture, recreation and sport [52]",3490
2019-10,"Technical occupations in libraries, public archives, museums and art galleries [521]",145
2019-10,Library and public archive technicians [5211],50
2019-10,Technical occupations related to museums and art galleries [5212],0
2019-10,"Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts [522]",190
2019-10,Photographers [5221],0
2019-10,Film and video camera operators [5222],0
2019-10,Graphic arts technicians [5223],45
2019-10,Broadcast technicians [5224],30
2019-10,Audio and video recording technicians [5225],50
2019-10,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts [5226]",20
2019-10,"Support occupations in motion pictures, broadcasting, photography and the performing arts [5227]",0
2019-10,"Announcers and other performers, not elsewhere classified (n.e.c.) [523]",100
2019-10,Announcers and other broadcasters [5231],0
2019-10,"Other performers, not elsewhere classified (n.e.c.) [5232]",0
